place_id,p_nameTH,p_nameEN,p_type,lat,long,x (easting),y (northing),web,tel,description
11,ทรานซิสนัมเบอร์เอท,Transit No.8 ,ร้านอาหารและคาเฟ่,18.7871157,98.9602837,495814.61,2077273.04,https://www.facebook.com/transitnumber8/,062 592 4259,คาเฟ่เชียงใหม่ฮิตสุดในไอจีที่เหล่าบรรดาเซเลปดารานิยมไปเช็คอิน กับคาเฟ่ในสไตล์มินิมอล กับมุมถ่ายภาพทางม้าลาย ที่ข้ามระหว่าง 2 บ้าน คือ  โซนฝั่งสโลว์บาร์ กับ โซนร้านกาแฟ ซึ่งตั้งอยู่คนละฝั่ง บรรยากาศร้านออกแบบตามชื่อร้านคล้ายเป็นจุด transit เน้นสีขาว แสงและเงาของการถ่ายรูป 
12,เยลโลคัพ,Yellow cup,ร้านอาหารและคาเฟ่,18.7439219,99.0740063,507800.96,2072495,https://www.facebook.com/%EF%B8%8FYellow-cup-113047243805780/?ref=page_internal,083 - 5711915,คาเฟ่ที่คุมโทนสีเหลืองพาสเทลทั้งร้าน กับการตกแต่งแบบมินิมอลสไตล์ ทางร้านได้จัดมุมไว้ให้เราถ่ายรูปกันหลายมุม อีกทั้งยังมีที่นั่งแบบอินดอร์ และเอาท์ดอร์ให้ลูกค้าเลือกได้ตามใจชอบ มีขนมหวาน เช่น บราวนี่ คุกกี้ช็อกโกแลตหนึบ ๆ ลองทานคู่กับชากุหลาบน้ำผึ้งมะนาวเมนูซิกเนเจอร์ของร้านเป็นการเติมเต็มช่วงเวลาแห่งความสุขได้อย่างเต็มที่ 
13,เอเวอร์กรีนคาเฟ่แอนด์โฮเทล,EVERGREEN.Cafe.Hotel,ร้านอาหารและคาเฟ่,18.7860784,98.9705143,496892.66,2077157.98,https://www.facebook.com/evergreen.cafe.hotel/,090 051 0007,คาเฟ่สายมินิมอลที่เน้นการตกแต่งบรรยากาศเรียบง่ายแบบ Minimal Modern จากรูปแบบของประตูหน้าต่างที่มีความโค้งเว้า และเมนูแนะนำต้องเป็นเครื่องดื่มอย่างกาแฟ เพราะทางร้านได้นำเข้าเมล็ดกาแฟถึง 3 สัญชาติอย่าง ไทย บราซิล และเอธิโอเปีย ผ่านการคั่วบดด้วยเคล็ดลับเฉพาะ  คอกาแฟนที่มาร้านนี้การันตีว่าดีจริงต้องมาลอง
14,แมทชาพเพน,Matchappen,ร้านอาหารและคาเฟ่,18.8360397,99.0076069,500801.42,2082685.82,https://www.facebook.com/matchappen/,092 580 1377,คาเฟ่ที่เอาใจสายมัจฉะ การตกแต่งภายในยังคงวิถีแบบมินิมอลสไตล์ที่คุมโทนสีขาวสว่าง จัดสรรเนื้อที่ให้ดูปรอดโปร่งโล่งสบาย และใช้เฟอร์นิเจอร์ไม้ทั้งหมด หรือใครชอบเสพบรรยากาศก็สามารถมานั่งดูพนักงานชงชากันที่บาร์ได้ เมนูของร้าน เน้นชาเขียวซึ่งพิถีพิถันในการชงมาก ๆ และจะแบ่งชาเขียวออกเป็น 4 เกรด เรียกว่าขนเอาชารสชาติดีมาให้ลูกค้าได้ลิ้มลองแบบที่ไม่ต้องไปไกลถึงญี่ปุ่นเลย 
15,แม็กซ์ คอฟฟี่,max coffee,ร้านอาหารและคาเฟ่,18.7460643,98.9546564,495220.36,2072730.99,https://www.facebook.com/MAXCoffee.cm/,098 510 3010,คาเฟ่สไตล์ลอฟท์แบบปูนเปลือยให้ความดิบแบบเท่ๆ ตัวร้านเน้นใช้สีเทาดำเป็นหลัก เริ่มตั้งแต่ทางเข้าร้านที่มีการใช้เศษปูนมาวางกองเรียงกันจนทำให้เข้าใจว่าร้านยังสร้างไม่เสร็จแต่นั่นเป็นสไตล์การตกแต่งที่เน้นความดิบจริงๆ เมื่อเดินเข้ามาในร้านเป็นแบบโปร่งโล่ง ไฮไลท์ คือ นุมนั่งสโลปพร้อมหมอนอิงวางไล่ระดับกันแบบเก๋ๆ ในส่วนเมนูของทางร้านมีทั้งกาแฟ สโลว์บาร์ และเมนูเบรคฟาสต์
16,อันดูสตูดิโอ,Undo studio,ร้านอาหารและคาเฟ่,18.7626281,98.998022,499791.52,2074563.1,https://www.facebook.com/Undostudio-106407727604838,065 478 8974,ร้านสไตล์มินิมอลแบบ Japan Style บนดาดฟ้าตึก พิกัดของร้านนั้นตั้งอยู่บนดาดฟ้าของโกดังสินค้าขนาดใหญ่ เมื่อเดินขึ้นมาแล้วจะพบกับตัวร้านที่ทำจากไม้ทั้งหลังล้อมด้วยกระจกใส เป็นคาเฟ่ไซส์มินิที่ดูภาพรวมแล้วน่ารักเหมือนหลุดออกมาจากในการ์ตูน ในส่วนของเมนูมีให้เลือกทั้งชา กาแฟ โกโก้ และขนมเค้ก
17,โคโค คอร์นเนอร์ โคโคนัท,Coco corner coconut,ร้านอาหารและคาเฟ่,18.7965127,98.9686473,496696.11,2078312.6,https://www.facebook.com/cococornercoconut/,063 672 2759,คาเฟ่ในย่านนิมมานฯ ที่ได้รับความนิยมทั้งคนไทย และคนต่างชาติ โดยเฉพาะใครที่ชอบทานมะพร้าวร้านนี้ขึ้นชื่อมาก ๆ เพราะเมนูส่วนใหญ่นั้นทำจากมะพร้าวเกือบทั้งหมด อย่างเมนูซิกเนเจอร์ คือ น้ำมะพร้าวปั่น ไอศกรีมมะพร้าว ซอฟเสิร์ฟมะพร้าว เค้กมะพร้าว และพุดดิ้งมะพร้าว 100% ในส่วนของการตกแต่งร้านจะออกมาในแนวลอฟท์สไตล์ เน้นใช้วัสดุจากไม้ จากปูนเป็นหลัก เครื่องใช้เป็นแบบไม้สาน บวกกับโทนสีขาวของร้านดูสะอาดตามาก ๆ ถ่ายรูปออกมาแล้วดูดี ให้บรรยากาศเหมือนร้านริมชายหาดเลย 
18,เกรนคาเฟ่ซีเอ็นเอกซ์,Graincafe.cnx,ร้านอาหารและคาเฟ่,18.7725897,98.951858,494926.22,2075666.03,https://www.facebook.com/graincafecnx/,095 448 2333,คาเฟ่สาย Healthy เพราะร้านนี้ทุกเมนูเน้นตอบโจทย์คนรักสุขภาพ ไม่ว่าจะเครื่องดื่ม หรือขนมหวานก็ใส่ใจเรื่องปริมาณน้ำตาลและส่วมผสม อย่างซิกเนเจอร์ของร้าน คือ Grain on the ground เป็นการปั่นกาแฟกับมะพร้าวสดเพื่อลดการใช้นมลง หรือเมนูขนมเค้กของทางร้านที่จะใช้ธัญพืชเป็นส่วนประกอบหลัก นอกจากนี้ทางร้านยังมีมุมสวย ๆ ให้ถ่ายรูปอีกเยอะ ด้วยการออกแบบของตัวร้านที่มีรูปทรงแปลกตา เป็นคลื่น ๆ บวกกับหน้าต่างประตูที่ดูมีรูปมีทรงเก๋ๆ ทำให้ถ่ายภาพออกมาแล้วให้อารมณ์คูล ๆ 
19,แฟลตคาเฟ่,Flat Cafe,ร้านอาหารและคาเฟ่,18.7858797,98.9648589,496296.71,2077136.18,https://www.facebook.com/flatcafecnx,09-2650-6707,คาเฟ่สไตล์มินิมอล ด้วยการตกแต่งของร้านที่ดูเรียบง่าย สบายตา เฟอร์นิเจอร์ก็ให้ฟีลวินเทจเบาๆ สำหรับเมนูเครื่องดื่มและขนม ก็มีให้เลือกมากมาย แต่ไฮไลท์คือ เมนูเบเกอรี่ รสชาติอร่อย
20,บิกุริ, Biguri ,ร้านอาหารและคาเฟ่,18.814021,98.9841976,498335,2080249.57,https://www.facebook.com/biguridonut/,098 329 7673,ร้านเบเกอรี่สไตล์ญี่ปุ่นแบบมินิมอล ด้วยตัวร้านบรรยากาศน่ารักอบอุ่น และโดนัทก็รสชาติดี อร่อยถูกใจ แป้งนุ่ม ให้ฟีลเหมือนนั่งกินขนมอยู่ที่สวนหลังบ้านในญี่ปุ่นจริงๆ ได้กาแฟหอมๆทานคู่กันแล้วอร่อยมาก
21,หีบ,Heap,ร้านอาหารและคาเฟ่,18.7883297,98.9953381,499508.71,2077406.91,https://www.facebook.com/Heap-Chiangmai-105775788048888/,06-1152-5151,คาเฟ่สีขาว-เขียว ชื่อที่แปลกไม่เหมือนใครจากคำว่า หีบ ซึ่งเป็นภาษาเหนือ แปลว่า ซด ด้วยบรรยากาศร้านสุดน่ารัก น่าถ่ายรูป เมนูของที่นี่มีทั้งกาแฟ Non-Coffee และเบเกอรี่
22,เซลฟ์คอฟฟี่,SELF Coffee,ร้านอาหารและคาเฟ่,18.7870472,98.9993986,499936.66,2077264.94,https://www.facebook.com/selfcoffeechiangmai/,08-7198-6779,คาเฟ่สไตล์มินิมอลผสมกับวินเทจ ทำให้ออกมาดูลงตัว แถมเครื่องดื่มของที่นี่ก็รสชาติดี มีให้เลือกหลากหลายเมนู เป็นอีกหนึ่งร้านในเชียงใหม่ที่ควรค่าแก่การมา Hopping 
23,โฮม,Home’s,ร้านอาหารและคาเฟ่,18.7864902,99.0460032,504847.95,2077203.94,https://www.facebook.com/homes.26.9/,06-4515-6269,คาเฟ่ที่ตกแต่งสไตล์ Santorini ผสมความมินิมอลแบบคลีนๆ ตัวร้านแบ่งออกเป็นสองชั้น ชั้นแรกเป็น shop ส่วนชั้น 2 เป็นโซนของร้านกาแฟ ร้านตกแต่งโทนขาวน้ำตาล บรรยากาศสบายๆ โฮมมี่สุดๆ แถมยังมีชั้นดาดฟ้า
24,บรรยากาศ,Banyakat ,ร้านอาหารและคาเฟ่,18.9274483,98.8222838,481287.29,2092809.18,https://www.facebook.com/banyakat/,06-6115-2124,คาเฟที่จบครบทุกความชิล เพราะเป็นทั้งคาเฟ่และที่พัก โลเคชั่นดีตั้งอยู่ท่ามกลางธรรมชาติอันสดชื่นบนม่อนเเจ่ม บรรยากาศน่ามาพักผ่อน พร้อมกับสูดลมหายใจได้อย่างเต็มปอด ตัวร้านก็ยังมีความมินิมอลฟีลญี่ปุ่นๆ มีหมอกบางๆ
25,ชอบคัพคาเฟ่,Chxb Cup Cafe,ร้านอาหารและคาเฟ่,18.8341113,99.0013864,500146.02,2082472.36,https://www.facebook.com/Chxb-Cup-Cafe-%E0%B8%8A%E0%B8%AD%E0%B8%9A-%E0%B8%84%E0%B8%B1%E0%B8%9E-%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88-1060472287675072/,06-1224-2823,คาเฟ่สไตล์มินิมอล โทนสีขาวตกแต่งให้เหมือนอยู่เกาหลี แถมเครื่องดื่มก็ถูกใจคอกาแฟ หอมเข้มข้ม 
26,ช.ศรีนวล คาเฟ่,ch.srinual cafe,ร้านอาหารและคาเฟ่,18.7512999,99.1231757,512983.41,2073314.2,https://www.facebook.com/chsrinual.cafe/,080 557 4111,ร้านกาแฟสไตล์มินิมอลฟีลญี่ปุ่นนิดๆ ด้วยการตกแต่งโทนสีขาวน้ำตาลที่ผสมผสานกับบ้านไม้สัก ทำให้มีบรรยากาศที่อบอุ่น เป็นกันเอง สวยงาม สามารถเลือกชิลได้ทั้งโซน Indoor และโซน Outdoor สีโต๊ะเกาอี้เน้นโทนสีขาวน้ำตาล มีกระจกบานใหญ่ทำให้มีแสงธรรมชาติเข้ามา 
27,คริสป์ คาเฟ่,KRISP Cafe ,ร้านอาหารและคาเฟ่,18.8090243,98.9802882,98.9802882,2079696.71,https://www.facebook.com/krispcafe2021,063 525 4245,คาเฟ่ ร้านกาแฟถ่ายรูปสวยๆ ตัวร้านถูกรีโนเวทมาจากบ้านเก่า มีกลิ่นอายความเป็นวินเทจเบาๆ มีพื้นที่กว้างขวาง มีมุมแสดงงานศิลปะในทุกๆ ห้อง มีทั้งโซน Indoor และ Outdoor พร้อมกับมุมไฮไลท์ซึ่งเป็นสระว่ายน้ำที่ไม่มีน้ำ สามารถลงไปถ่ายรูปได้
28,กลิน คาเฟ่,Glin Cafe,ร้านอาหารและคาเฟ่,18.797586,98.9771429,497591.41,2078431.19,https://www.facebook.com/glin.cafe/,09-2558-2255,คาเฟ่ขาวๆ ครีมๆ โทนสี แสงสี และขนมปังของทางร้านก็รสชาติดีต่อใจ อร่อยสุดๆ
29,แดนข้าวมันไก่ สาขาสันทราย,Dan Chicken Rice,ร้านอาหารและคาเฟ่,18.8218028,99.0311178,503278.64,2081110.82,-,0810221128,ร้านข้าวมันไก่เจ้าเด็ด ข้าวมันหอมๆ เม็ดสวยอร่อย ไก่เนื้อแน่นฉ่ำ ติดหนังนิดๆ เสิร์ฟพร้อมกับน้ำจิ้มรสจัดจ้าน และยังเข้ากันดีกับน้ำซุปสุดกลมกล่อม 
30, ข้าวซอยลุงประกิจกาดก้อม,Khao Soi Lung Prakit Kaat Gorm,ร้านอาหารและคาเฟ่,18.7744964,98.9875067,498683.35,2075876.28,-,0832099441,ร้านข้าวซอยสตรีทฟู้ดเจ้าเด็ด ความอร่อยระดับตำนานมานานกว่า 40 ปี สำหรับเมนูเด็ดยอดนิยม คือ ข้าวซอยเนื้อ เป็นข้าวซอยที่น้ำแกงข้นกำลังพอดี เนื้อตุ๋นมาได้นุ่มอร่อย ละลายในปาก เส้นบะหมี่ลวกสุกนุ่ม ไม่เละ เสิร์ฟพร้อมเครื่องเคียง หอมดอง ผักกาดดอง และมะนาว
31,ครัวหลองข้าว,Krua Lawng Khao,ร้านอาหารและคาเฟ่,18.916976,98.9493103,98.9493103,2091641.84,https://www.facebook.com/Lhongkao.Kitchen/,08-3476-3421,ร้านอาหารเหนือ บรรยากาศสบายๆ ได้ใกล้ชิดธรรมชาติ นั่งทานข้าวในอากาศเย็นสบาย โดยทางร้านจะเน้นอาหารพื้นเมืองมากมายหลายเมนู ใช้เครื่องปรุงสดใหม่ เมนูแนะนำ คือ ลาบหมูคั่ว กรอบนุ่มหอมกลิ่นเครื่องเทศ และแกงผักบุ้งใส่ปลาแบบทางเหนือที่มีรสเผ็ดอร่อย
32, สวนทูนอิน,Tune In garden,ร้านอาหารและคาเฟ่,18.8687605,98.8197066,481009.33,2086315.91,https://www.facebook.com/tuneingardenchiangmai/,"0-5387-9251, 087-1852-951",ร้านอาหารบรรยากาศดี ใกล้ชิดธรรมชาติ มีบ่อปลาสวยๆ และเมื่อมาที่นี่ครั้งแรกจะได้ทานเซ็ตเมนู เมื่อกลับมาอีกครั้งจะสามารถเลือกเมนูจากตำราอาหารของเจ้าของร้านได้ เมนูแนะนำ คือ ซี่โครงหมูอบกะหล่ำปลี และหลนแหนม
33,บ้านลันได,BAAN Landai,ร้านอาหารและคาเฟ่,18.7940972,98.9852849,498449.35,2078045.06,https://www.facebook.com/baanlandaifinethaicuisine/,06-5848-4464,ร้านได้เลือกสรรตำรับความอร่อยทั่วไทยมาไว้ที่ร้าน สำหรับจานเด็ดประจำร้าน คือ ซี่โครงหมูอบซอสไวน์แดง รสละมุนหอมกลิ่นสมุนไพร และยังมี ชาดอกไม้ พร้อมค็อกเทลและม็อกเทลหลากหลายสูตรให้เลือกจับคู่กับอาหารจานหลัก
34, แมกโนเลีย คาเฟ่,Magnolia Café,ร้านอาหารและคาเฟ่,18.8005194,98.9949046,499463.12,2078755.56,https://www.facebook.com/PinnFood/,06-1684-8222,ร้านอาหารไทยรสมือแม่ที่เสิร์ฟตำรับไทยคัดสรรจากทั่วทุกภูมิภาค ปรุงและจัดเสิร์ฟมาได้อย่างงดงาม และถึงแม้ที่นี่จะไม่มีเมนูขนมหวาน แต่ลูกค้าทุกคนจะได้รับขนมเปียกปูนสดแสนอร่อยเป็นเมนูปิดท้าย
35,จินเจอร์ฟาร์มคิชเช่น,Ginger Farm Kitchen,ร้านอาหารและคาเฟ่,18.7998595,98.9653631,496350.12,2078683,https://www.facebook.com/gingerfarmkitchen/,0-5208-0928,ร้านอาหารที่ตกแต่งได้อย่างสวยงามสไตล์รัสติก มีต้นไม้ ดอกไม้ มาประดับ ทำให้รู้สึกได้รับบรรยากาศที่อบอุ่น เมนูส่วนใหญ่จะเป็นอาหารเหนือที่อร่อยเด็ด รสเลิศ แถมด้วยวัตถุดิบสดใหม่ ที่ส่วนใหญ่จะมาจากฟาร์มของร้านเอง
36,โกเหน่ง,Patongo Kong Neng Chiangmai,ร้านอาหารและคาเฟ่,18.7899409,98.9994982,499947.1,2077585.15,https://www.facebook.com/%E0%B8%9B%E0%B8%B2%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%81%E0%B9%8B-%E0%B9%82%E0%B8%81%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B9%88%E0%B8%87-217164521708876,09-4637-6333,ร้านปาท่องโก๋ยอดฮิตในเชียงใหม่ เพราะเค้าได้ดัดแปลงจากปาท่องโก๋เดิมๆ ให้เป็นรูปร่างต่างๆ ดูน่ารัก น่ากินขึ้นไปอีก ไม่ว่าจะเป็นจระเข้ ไดโนเสาร์ มังกร ช้าง รวมถึงรสชาติที่กรอบนอก นุ่มใน อร่อยระดับตำนานกว่า 30 ปี
37,ฮ้านถึงเจียงใหม่ ,Han Teung Jiang Mai,ร้านอาหารและคาเฟ่,18.7890017,98.9525904,495003.85,2077481.92,-,09-1076-6100,ร้านอาหารหลังคาทรงจั่วมุงด้วยหญ้าคา อยู่ไม่ไกลจากม.เชียงใหม่ ภายในร้านตกแต่งแบบเรียบง่ายสไตล์รัสติก รสชาติของอาหารทำให้เป็นร้านที่ดึงดูดผู้คนมากมาย ไม่ว่าจะเป็นนักท่องเที่ยว หรือคนในท้องถิ่นเอง แถมด้วยราคาที่เป็นมิตร และการบริการที่น่าประทับใจ ไม่แปลกใจจริงๆ ค่ะ ว่าทำไมใครมาก็ต้องติดใจร้านนี้ค่ะ
38,เฮือนสุนทรี,Huan Soontaree,ร้านอาหารและคาเฟ่,18.830827,98.9922036,499178.65,2082109.02,https://www.facebook.com/huansoontaree,08-3860-8196,ร้านสไตล์ล้านนา และที่นี่เป็นร้านอาหารที่อยู่ติดริมแม่น้ำ แถมด้วยดนตรีสดเพราะๆ ยาวไปทั้งคืน ให้เราได้อิ่มอร่อยกับอาหารมื้อเย็นสไตล์พื้นเมือง 
39, เฮือนม่วนใจ๋,Huen Muan Jai,ร้านอาหารและคาเฟ่,18.7998672,98.9733593,497192.7,2078683.63,https://www.facebook.com/Huen-Muan-Jai-%E0%B9%80%E0%B8%AE%E0%B8%B7%E0%B8%AD%E0%B8%99%E0%B8%A1%E0%B9%88%E0%B8%A7%E0%B8%99%E0%B9%83%E0%B8%88%E0%B9%8B-301752539835951/,09-8261-8029,บ้านแห่งความสุขสไตล์ล้านนา ที่เสิร์ฟอาหารสูตรดั้งเดิมรสชาติเด็ด เมนูเด็ด คือ จอผักกาด เป็นซุปเปรี้ยวใส่กะหล่ำปลีจีนและหมู แกงฮังเลสูตรดั้งเดิม และน้ำพริกหนุ่มรสชาติกลมกล่อมสูตรลับของทางร้าน 
40,ข้าวซอยแม่มณี,Khao Soi Mae Manee,ร้านอาหารและคาเฟ่,18.8244138,98.9648398,496295.55,2081399.8,https://www.facebook.com/khaosoimaemani/,0-5321-8519,ร้านอาหารเหนือดั้งเดิม อร่อยถูกปาก ราคาถูก โดยเฉพาะคนชอบข้าวซอย เพราะร้านมีเส้นให้เลือกหลากหลาย ไม่ว่าจะเป็นวุ้นเส้น มาม่า เส้นเล็ก อร่อยทุกแบบ ได้ทั้งข้าวซอยไก่ เนื้อวัว และเนื้อหมู 
41,มีนา,Meena,ร้านอาหารและคาเฟ่,18.7848281,99.0437651,504612.15,2077019.99,https://www.facebook.com/meena.rice.based/,09-5693-9586,ร้านอาหารทรงไทยล้านนาที่ซ่อนตัวอยู่ในทุ่งนา  เมนูแนะนำ คือ ข้าว 5 สี ทานคู่กับอาหารไทยต่างๆ แต่ละจานถูกตกแต่งอย่างสวยงามด้วยดอกไม้หรือผลไม้สีสันสดใส ส่วนใครที่ไม่ทานเนื้อสัตว์ทางร้านก็มีเมนูมังสวิรัติให้เลือกอย่างหลากหลาย
