temp_id,temp_nameTH,temp_nameEN,lat,long,x (easting) ,y (northing),Description
11,วัดพระธาตุศรีจอมทองวรวิหาร,Wat Phrathat Si Chom Thong Worawihan,18.4210542,98.6767325,465859.99,2036800.77,วัดพระธาตุศรีจอมทองวรวิหาร เดิมชื่อว่า วัดพระธาตุเจ้าศรีจอมทอง เป็นวัดสำคัญคู่เมืองจอมทอง และเป็นพระธาตุประจำปีชวด บริเวณที่ตั้งเป็นเนินดินสูงประมาณ 10 เมตร เรียกกันมาตั้งแต่อดีตว่าดอยจอมทอง
12,วัดป่าดาราภิรมย์,Wat Pa Dara Phirom Phra Aram Luang,18.9107217,98.9390768,493584.45,2090950.19,วัดป่าดาราภิรมย์ มีความงดงามด้านสถาปัตกรรม ทั้งพระอุโบสถที่สร้างเป็นศิลปล้านนา พระประธานเป็นพระพุทธรูปปางสมาธิ ศิลปสุโขทัย
13,วัดอินทราวาส,Wat Intharawat,18.7228396,98.9231889,491902.36,2070162.51,วัดอินทราวาส  ด้านในประดิษฐานพระประธานบนแท่นแก้วลวดลายวิจิตร สิ่งที่น่าสนใจคือ ศาลาจตุรมุขซึ่งพบเพียงหลังเดียวในภาคเหนือ นอกจากนี้ศิลปกรรมล้านนาดั้งเดิมภายในวัดนี้ยังจัดว่าเป็นต้นแบบที่สมบูรณ์และมีคุณค่ามาก
14,วัดบ้านเด่น,Wat Ban Den,19.1577357,98.9762956,497507.52,2118280.91,วัดบ้านเด่น เนื่องจากภายในวัดเต็มไปด้วยต้นโพธิ์ ที่ชาวเหนือเรียกว่า ต้นสะหลี รวมถึงวัดตั้งอยู่ในเขตเมืองเก่าโบราณที่เรียกว่า เมืองแกน จึงเป็นที่มาของชื่อวัดว่า วัดเด่นสะหลีศรีเมืองแกน
15,วัดศรีสุพรรณ,Wat Sri Suphan,18.7787237,98.9814728,498047.47,2076344.14,วัดศรีสุพรรณ นอกจากนี้ยังมี พระวิหารทรงล้านนา ที่ได้ทำการปฏิสังขรณ์ผสมศิลปะร่วมสมัยโดยรักษาของที่มีอยู่เดิมไว้ และมีการวาดจิตรกรรมฝาผนังเรื่องราวพระธาตุ 12 ราศี ภาพพระธาตุเจดีย์ ศูนย์กลางเมืองเชียงใหม่ในอดีตและภาพปริศนาธรรมให้นักท่องเที่ยวได้เข้าชม
16,วัดเจ็ดลิน,Wat Jet Lin,18.7837361,98.9861586,498541.36,2076898.65,วัดเจ็ดลิน ภายในัดมีโบราณสถานที่สำคัญก็คือ เจดีย์ใหญ่ ซึ่งเป็นเจดีย์สี่เหลี่ยมผสมทรงกลม และลวดลายที่ตกแต่งองค์เจดีย์ มีลักษณะเหมือนลวดลายที่ตกแต่งซุ้มประตูและเจดีย์องค์ใหญ่ที่ใช้เป็นที่บรรจุพระอัฐิของพญาติโลกราช ที่วัดเจ็ดยอด สันนิษฐานว่าจะได้รับอิทธิพลจากวัดเจ็ดยอด และวัดโลกโมฬี
17,วัดผาลาด,Wat Pha Lat,18.7993968,98.9319581,492830.05,2078632.78,วัดผาลาด อยู่ในเขตของอุทยานแห่งชาติดอยสุเทพ-ปุย ตั้งอยู่ท่ามกลางป่าเขาร่มรื่น เป็นวัดโบราณกว่า 500 ปี ที่นี่มีสถาปัตยกรรมที่สวยงาม ภายในวัดมีโบราณสถานที่สำคัญคือ วิหารและเจดีย์ ที่สร้างขึ้นในสมัยครูบาศรีวิชัย
18,วัดเกตการาม,Wat Ket Karam,18.792178,99.0005739,500060.49,2077832.66,วัดเกตการาม เป็นวัดเก่าแก่ของเมืองเชียงใหม่  นอกจากนี้ยังมี พระธาตุวัดเกตการาม หรือ เจดีย์จุฬามณี เป็นพระธาตุประจำปีเกิดสำหรับผู้ที่เกิดปีจอตามความเชื่อล้านนา
19,วัดดวงดี,Wat Duang Dee,18.7894394,98.9863872,498565.44,2077529.66,วัดดวงดี เป็นวัดที่มีชื่อดี เป็นสิริมงคล ตั้งอยู่กลางเมืองเชียงใหม่ ใกล้ๆ กับอนุสาวรีย์สามกษัตริย์ เป็นอีกหนึ่งวัดที่ที่มักจะอยู่ในกิจกรรมไหว้พระ 9 วัดเสมอๆ ตั้งอยู่ในเขตเมืองเก่า บนถนนพระปกเกล้า ตำบลศรีภูมิ อำเภอเมือง 
20,วัดพันอ้น,Wat Phan On,18.7876547,98.9889978,498840.58,2077332.25,ตั้งอยู่ในเขตคูเมืองเก่าทางด้านตะวันออก ใกล้กับประตูท่าแพ เป็นวัดเล็ก ๆ ไม่ใหญ่มากนัก สร้างมาตั้งแต่สมัยของพระเจ้าศิริธรรมจักรพรรดิราช
21,วัดเชียงยืน,Wat Chiang Yuen,18.796385,98.9863278,498559.28,2078298.2,สิ่งสำคัญอีกอย่างของวัดเชียงยืน ก็คือ พระบรมธาตุเชียงยืน เป็นพระธาตุเจดีย์รูปทรงแปดเหลี่ยม ด้านในประดิษฐานพระบรมสารีริกธาตุ นอกจากนี้ก็ยังมีพระอุโบสถทรงแปดเหลี่ยม สถาปัตยกรรมแบบพม่าที่สวยงาม และหลวงพ่อทันใจ ให้ได้ชมและกราบไหว้ขอพรด้วย
22,วัดหมื่นเงินกอง,Wat Muen Nguen Kong,18.785235,98.9788388,497769.97,2077064.59,วัดสวยในเขตคูเมืองเก่าเชียงใหม่ สร้างขึ้นในสมัยราชวงศ์มังราย โดยอยู่ในย่านสามล้านอันเป็นย่านที่อยู่อาศัยของเหล่าขุนนางในสมัยก่อน ภายในวัดสวยงามไปด้วยสถาปัตยกรรมแบบล้านนา ทั้งพระวิหารไม้แกะสลัก
23,วัดชัยมงคล,Wat Chai Mongkhon,18.7806433,99.0024433,500257.46,2076556.37,วัดมอญโบราณ ตั้งอยู่ริมแม่น้ำปิง สร้างขึ้นในสมัยพระเจ้าติโลกราช ภายในวัดโดดเด่นด้วยเจดีย์ชัยมงคล มีลักษณะเป็นเจดีย์ตามศิลปะเมียนมามอญ รวมถึงพระอุโบสถและพระวิหารที่มีสถาปัตยกรรมและการตกแต่งที่วิจิตรงามตา
24,วัดลอยเคราะห์,Wat Loi Kroh,18.7846596,98.9946215,499433.14,2077000.84,วัดลอยเคราะห์ เป็นวัดเก่าแก่ที่สร้างมาตั้งแต่สมัยพญากือนา ภายในวัดงดงามด้วยสถาปัตยกรรมสมัยล้านนา ภายในพระวิหารเป็นที่ประดิษฐานของพระพุทธศุภโชคศรีลอยเคราะห์มิ่งมงคล ชาวบ้านให้ความเคารพศรัทธา และยังมีพระเจ้าทันใจให้ได้ขอพรเสริมดวงด้วย
