accom_id,accom_nameTH,accom_nameEN,accom_type,lat,long ,x (easting),y (northing),price,web,tel,description
11,พอเทล เชียงใหม่,Pawtel Chiangmai,รีสอร์ท,18.9538735,98.9215529,491741.19,2095725.56,"เริ่มต้นที่ 2,000-3,500 บาท",www.pawtelchiangmai.com,053-044565,ที่พักน่ารักที่ตอบโจทย์เอาใจคนรักน้องหมาโดยเฉพาะ! ภายในที่พักแบ่งเป็น 2 โซน คือ 1 โซนสำหรับเจ้าของ และ 2 โซนสำหรับสุนัขค่ะ ภายในที่พักตกแต่งในในสไตล์โรงนาอังกฤษใช้สีโทนฟ้าขาว ตัดกับสีของพื้นที่ใช้ไม้เป็นวัสดุดูกลมกลืนกับธรรมชาติมากๆ แถมสระว่ายน้ำก็แยก 2 สระ เป็นสระสำหรับลูกค้า และสำหรับน้องหมาโดยเฉพาะเลย นอกจากนี้ยังมีคาเฟ่ ยังมีร้านขายของที่ระลึก
12,แอท นาธา เชียงใหม่ ชิคจังเกิ้ล รีสอร์ท,At NaTa Chiangmai Chic Jungle Resort,รีสอร์ท,18.9063336,98.9041163,489902.58,2090466.31,"เริ่มต้น 2,400 บาท",https://www.facebook.com/atnatachiangmai/,"053-044121, 081-6031717",ที่พักน่ารักสไตล์ลอฟท์ อยู่ท่ามกลางธรรมชาติ ด้านหน้าที่พักมีธารน้ำตกแม่สาไหลผ่านตลอดทั้งปี ห้องพักมีให้เลือกถึง 4 แบบมีห้องประชุมสำหรับกรุ๊ปสัมนาเล็กๆ ที่สำคัญที่นี่สามารถนำสัตว์เลี้ยงเข้าพักได้ด้วย คนที่รักน้องหมาน้องแมวไม่ควรพลาด พื้นที่ส่วนกลางก็มีทั้งสระว่ายน้ำ คาเฟ่ ร้านอาหาร มุมนั่งเล่นบริเวณรอบๆที่พัก และโซนริมน้ำที่สุดจะชิล
13,รายา เฮอริเทจ,Raya Heritage,รีสอร์ท,18.8488569,98.9830616,498215.67,2084104.03," เริ่มต้น 5,000-9,000บาท ",https://www.rayaheritage.com/en/ ,053-111670,ที่พักท่ามกลางธรรมชาติ ที่เมื่อเพื่อนๆ เข้ามาพักแล้วจะได้สัมผัสความรู้สึกการพักผ่อนท่ามกลางบรรยากาศอันสงบร่มรื่นริมฝั่งแม่น้ำปิง ซึ่งการตกแต่งของที่นี่ก็จะเป็นสไตล์โคซี่ เรียบง่ายแต่หรูหรา เน้นใช้โทนสีเอิร์ธโทนเป็นหลัก ทำให้แขกผู้เข้าพักอบอุ่นและผ่อนคลาย รวมถึงภายในบริเวณโรงแรมก็ยังตกแต่งด้วยงานหัตถกรรมพื้นบ้าน และสิ่งของเครื่องใช้ที่มีความเป็นเอกลักษณ์เปรียบเสมือนประตูทางวัฒนธรรมที่ถูกสร้างขึ้นเพื่อถ่ายทอดเสน่ห์ของวิถีชีวิตล้านนาดั้งเดิมแก่ผู้มาเยือน
14,โมริ เนเชอรัล ฟาร์ม,Mori Natural Farm,ฟาร์มสเตย์,18.8669499,98.8290823,481996.63,2086114.55,"เริ่มต้น 3,300 บาท /หลัง",-,081-787-8595,"เป็นฟาร์มสเตย์เล็กๆ  ที่ผสมผสานกลิ่นอายความเป็นล้านนาและญี่ปุ่นได้อย่างลงตัว เน้นบริการที่เป็นกันเองที่ได้ฟีลเหมือนมานอนบ้านญาติต่างจังหวัด สำหรับบ้านพัก อยู่เพียงแค่ 4 หลัง กับอีก 1 ห้อง คือ บ้านเรียวคัง บ้านพักสไตล์ญี่ปุ่นสำหรับ 2 คน , บ้านหลองข้าว บ้านพักสไตล์ล้านนาสำหรับ 2 คน,บ้านคอทเทจ เป็นบ้านเล็กๆ สไตล์ cottage garden สำหรับ 2 คน,บ้านโรงนา บ้านพักหลังใหญ่ที่สุดพักได้ 4-6 คน และห้องสุดท้าย ห้องทาทามิ ห้องเล็กๆ น่ารักแบบฉบับเจแปนปูพื้นด้วยเสื่อทาทามิของแท้จากญี่ปุ่นและนอนบนฟูกฟูตงแบบต้นตำหรับ"
15,สเตย์ ไวลด์ แอนด คาเฟ่,Stay Wild & Café,โฮมสเตย์,19.2251325,98.8127302,480316.48,2125748.82,"เริ่มต้น 2,400 บาท",https://www.facebook.com/Stay-Wild-Caf%C3%A9-415176748866164/,089-4416365,ที่พักริมลำธารที่มีคาเฟ่ในตัวกลางป่าใหญ่ ที่ออกแบบบ้านพักดีไซน์สวยงามที่ให้ความรู้สึกชิลเหมือนการมาพักที่บ้านเพื่อน ตัวบ้านพักมีจำนวน 9 หลัง ออกแบบมาในสไตล์บาหลี ที่ะเน้นไม้เป็นหลัก จึงทำให้ได้บรรยากาศอบอุ่น... ส่วนภายในห้องพักก็จะมีสิ่งอำนวยความสะดวกครบครัน แถมยังสามารถนอนชมวิวลำธารได้จากบนเตียงเลย นอนฟังเสียงลำธารพร้อมชมวิวหมอก
16,บ้านธารกล่อม,bannthanklom,รีสอร์ท,19.2321967,98.877688,487144.63,2126524.38,"เริ่มต้น 1,500 บาท",https://www.facebook.com/bannthanklom/ ,095-6901827,เป็นที่พักตีนดอยแม่ตะมานริมลำธารที่มีน้ำไหลใสเย็นตลอดปี โดยที่นี่เกิดขึ้นจากไอเดียของเจ้าของที่อยากเชื่อมโยงระหว่างผู้คนกับธรรมชาติ ให้ผู้เข้าพักสามารถใช้วันหยุดไปกับการพักผ่อนได้อย่างเต็มอิ่ม ในส่วนของบ้านพัก มีให้เลือกทั้งหมด 8 แบบ ซึ่งแต่ละแบบจะเน้นการตกแต่งและออกแบบแบบเรียบง่ายและกลมกลืนกับบริบทรอบข้าง เน้นการใช้ไม้เป็นหลัก โดยการตกแต่งทั้งภายในและภายนอกห้องก็จะเน้นความเป็นธรรมชาติ มีเสน่ห์ในตัวเอง ไม่ต้องปรุงแต่งมากมาย ทำให้เรารู้สึกเย็นสบาย เมื่ออยู่ท่ามกลางป่าเขาด้วยแล้ว ยิ่งชวนให้เอนกายนอกพักทั้งวันเลยทีเดียว
17,บ้านพัก แม่กลางหลวงวิว,Maekalng Luang View,โฮมสเตย์,18.54064,98.5470878,452201.38,2050061.61,"ห้องแถว 2 ท่าน 600 บาท หลัง 4 ท่าน 1,500 บาท หลัง 10 ท่าน 4,000 บาท (ไม่รวมอาหารเช้า)",https://www.facebook.com/%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%B1%E0%B8%81-%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%A7%E0%B8%B4%E0%B8%A7-278264125660345/,086-1894075,ที่นี่ห้องพักเยอะ มีหลากหลายห้องให้เลือก มา 2 คน หรือ 4 คนก็สามารถมามาพักได้สบายๆ ส่วนวิว บรรยากาศรอบห้องพักเป็นวิวนาขั้นบันได
18,บ้านระเบียงนา ป่าบงเปียง,Ban rabiangna pa bong piang,โฮมสเตย์,18.5304646,98.4424215,441151.49,2048966.75,ราคาท่านละ 500 บาท,https://www.facebook.com/sombutchai02577/,0807946883,ที่มีห้องพักเป็นบ้านไม้บนเนินที่สามารถชมวิวนาขั้นบันไดได้แบบสุดลูกหูลูกตา ด้านหน้าห้องก็จะมีชานระเบียงไม้ให้นั่งทานอาหาร นั่งชมวิว รวมถึงมีมุมถ่ายรูปยอดฮิต ที่เป็นสะพานไม้สั้นๆ ยื่นออกไปตรงเนิน
19,บ้านไม้ไผ่ยักษ์,Giant bamboo hut,โฮมสเตย์,18.5407179,98.5399991,451453.25,2050072.13,"ท่านละ 1,200 บาท",https://www.facebook.com/Giant-Bamboo-Hut-356513381353632/,081-8812471,ที่พักดีไซน์เก๋ สร้างด้วยไม้ไผ่ สูง 3 ชั้น อิงแอบนาขั้นบันไดบ้านแม่กลางหลวง และติดกับลำธารจากน้ำตกผาดอกเสี้ยว ที่นี่ตั้งอยู่ระหว่างเส้นทางเดินธรรมชาติผาดอกเสี้ยว ห่างจากหมู่บ้านเเม่กลางหลางประมาณ 1 กม. บ้านทั้งหลังมี 2 ชั้น มี 2 ห้องนอน 2 ห้องน้ำ  ชั้นล่างเป็นห้องโถงสำหรับนั่งเล่น ทางเรารับนักท่องเที่ยวเพียงหนึ่งกลุ่มต่อคืนเท่านั้นเพื่อเน้นความสงบ
20,วู มะ คา มู,Woo Ma Ca Moo,โฮมสเตย์,18.8639651,99.3402501,535840.44,2085810,"เริ่มต้น 4,800 บาท",https://www.facebook.com/woomacamoo/,0643344135 ,ที่พักเปิดใหม่ดีไซน์เก๋แบบส่วนตัว ในบรรยากาศพรีเมียมโฮมสเตย์ที่มีลำธารไหลผ่าน ล้อมรอบด้วยธรรมชาติ อากาศเย็นสบายๆ แบ่งห้องพักหลักๆ ออกเป็น 3 ห้อง คือมะหยิบ มะเหงก และมะกอก ภายในห้องภายในห้องพักมีการเลือกใช้เฟอร์นิเจอร์และของตกแต่งที่ให้ความอบอุ่น สบายตา สอดรับกับธรรมชาติ มีสิ่งอำนวยความสะดวกครบครัน
21,พาสเทล โอลด์ทาวน์ เชียงใหม่,Pastell Oldtown Chiang Mai,โรงแรม,18.7827693,98.9801791,497911.15,2076791.72,"เริ่มต้น 1,600 บาท",https://www.pastellhotel.com/,053-272989,ที่พักเชียงใหม่ ดีไซน์เก๋ ขนาดกะทัดรัดที่แฝงตัวอยู่ในย่านชุมชนเมืองเก่า เกิดจากความตั้งใจที่จะรักษาอัตลักษณ์พื้นถิ่นชุมชนให้คงอยู่จึงออกแบบมาในสไตล์ล้านนาดั้งเดิมเข้ากับสไตล์โมเดิร์นที่ยังคงความเรียบง่ายและสะดวกต่อการใช้สอย ด้วยโทนสีขาวสะอาดตาและสีพาสเทลที่ช่วยเพิ่มความหอมหวาน สร้างบรรยากาศของการพักผ่อน อบอุ่น ให้ผู้เข้าพักได้รู้สึกถึงความผ่อนคลาย แต่ยังได้กลิ่นอายของเมืองล้านนาเป็นอย่างดี อีกทั้งยังเพียบพร้อมไปด้วยสิ่งอำนวยความสะดวกและการเดินทางที่สะดวกสบาย
22,เดอะ เอิร์ธ โฮเทล,The Earth Creative Lifestyle Hotel,โรงแรม,18.797828,98.9729235,497146.72,2078458.03,"เริ่มต้น 2,200 บาท",https://www.facebook.com/TheEarthHotel/,053-218889,"ที่พักเชียงใหม่ดีไซน์เก๋บนถนนห้วยแก้วที่ตัวสถาปัตยกรรมภายนอกเปลือยให้เห็นผนังคอนกรีต ส่วนต้อนรับหรือล็อบบี้ของโรงแรมถูกออกแบบในรูปทรงของซุ้มโค้ง ภายในมีห้องพักให้เลือกทั้งหมด 7 ห้อง 3 รูปแบบ แต่ละห้องตกแต่งตามธีม Terra, River และ Sky ผ่านการเลือกสีของหมอนและผ้า เน้นใช้เฟอร์นิเจอร์ไม้ให้ห้องดูอบอุ่นน่ารักด้วยสีเอิร์ธโทน เพื่อให้ผู้เข้าพักได้รับความรู้สึกเหมือนอยู่บ้าน"
23,ศาลาล้านนา เชียงใหม่,Sala Lanna Chiang Mai,โรงแรม,18.7911939,99.0006895,500072.61,2077723.79,"ราคาเริ่มต้นช่วง Low Season 1,700 บาท , ราคาเริ่มต้นช่วง Hi Season 2,250 บาท ",https://www.salahospitality.com/lanna/,053-242588,โรงแรมใจกลางเมืองเชียงใหม่บนถนนเจริญรัตน์ ติดริมแม่น้ำปิง ที่ตกแต่งในสไตล์โมเดิร์นที่ผสมผสานความเป็นล้านนา ที่บริการห้องพัก 15 ห้อง 4 รูมไทป์ ตกแต่งเรียบง่ายแต่หรูหรา นอกจากนี้ยังมีสระว่ายน้ำริมแม่น้ำปิงพร้อมกับบีนแบ็คให้เราได้นั่งชิลชมวิวอีกด้วยค่ะ รวมถึงมี Rooftop Bar ไว้บริการผู้เข้าพักที่อยากจะมานั่งจิบเครื่องดื่มเย็นๆ พร้อมกับฟังเพลงชมวิวเมืองเชียงใหม่ยามค่ำคืนอีกด้วย
24,พาร์ค โบโร ซิตี้ รีสอร์ต,Parc Borough City Resort,รีสอร์ท,18.7684638,98.9787448,497759.84,2075208.96,"เริ่มต้น 4,000 บาท",https://www.facebook.com/parcboroughhotel/?__tn__=%2Cd%2CP-R&eid=ARDyky10UhUjDGpymAhUVEz2SBDj9S4M45mPm8z42NzUTwk4py4k0btBbjvQR2o_s1Q10WvI17-EoVTj,053-284100,"ที่พักหรูใจกลางเมืองใกล้สนามบินเชียงใหม่เลยค่ะ  ที่นี่ออกแบบมาในสไตล์โอเอซิสร่มรื่น มีห้องพักทั้งหมด 57 ห้อง 6 รูปแบบ ซึ่งรูมไทป์ของที่นี่จะเริ่มต้นที่ 50 ตร.ม. ทุกห้องแบ่งเป็นสัดส่วน แยกห้องนอน ห้องนั่งเล่น ห้องน้ำชัดเจน พร้อมด้วยสิ่งอำนวยความสะดวกครบครัน แถมมีมินิบาร์ฟรี นอกจากนี้ยังมี Caramellow Cafe ,Gayarandra Spa ,ห้องอาหารครัวลลิต ฟิตเนส และสระว่ายน้ำบริการอีกด้วย"
25,วินทรี ซิตี้ รีสอร์ท เชียงใหม่,Wintree City Resort Chiang Mai,รีสอร์ท,18.8106228,98.9769258,497568.73,2079873.68,"เริ่มต้น 2,500 บาท",http://www.facebook.com/wintreecityresort/,"052-081377, 094-6016777"," รีสอร์ทหรูสไตล์โมเดิร์น ทันสมัย ผสมผสานความเป็นวัฒนธรรมล้านนา ริมถนนเชียงใหม่-ลำปาง มีห้องพักทั้งหมด 168 ห้อง 4 รูปแบบ เริ่มต้นจาก Superior , Deluxe , Premier Garden View และ Duplex Suite ห้องพัก 2 ชั้น ติดริมสระว่ายน้ำ บอกเลยว่าหรูมาก นอกจากนี้ยังมีห้องประชุมขนาดใหญ่สามารถจัดเลี้ยง จัดสัมมนา และใครอยากจิบชายามบ่ายก็มี Afternoon Tea Set ราคา 399 / 2 ท่าน"
26,ครอสทูไวบ์ เชียงใหม่ เดเซม โฮเทล,X2 Vibe Chiang Mai Decem Hotel,โรงแรม,18.8048359,98.966789,496500.49,2079233.54,"เริ่มต้น 1,800 บาท",-,053-214828,ที่นี่เป็นโรงแรมสไตล์ลอฟท์ ตามคอนเซ็ปต์ Stay Chill & Joy บริการห้องพักถึง 153 ห้อง 6 รูมไทป์ ไม่ว่าจะมาเป็นคู่หรือเป็นแก๊งก็พักได้สบาย ภายในห้องพักก็สะดวกสบายมีสิ่งอำนวยความสะดวกครบครัน นอกจากนี้ยังมีสระว่ายน้ำ ฟิตเนส จักรยาน และคาเฟ่
